"email","january","february","march","april","may","june","july","august","september","october","november","december"
"lai.gato@gato.org",6200,6200,6200,6200,6200,6200,7800,7800,7800,7800,7800,7800
"stephen_emigh@hotmail.com",9200,9200,9200,9200,9200,9200,9200,9200,9200,9200,9200,9200
"tshields@gmail.com",8100,8100,9100,9100,9100,9100,9100,9100,9100,9100,9100,9100
"twardrip@cox.net",8600,8600,8600,8600,8600,8600,8600,9800,9800,9800,9800,9800
"cory.gibes@gmail.com",9100,9100,9100,9100,9100,9100,9100,9100,9100,9100,9100,9100
"danica_bruschke@gmail.com",9100,9100,9100,9100,9100,9100,9100,9100,9100,9100,9100,9100
"wilda@cox.net",9000,9000,9000,9800,9800,9800,9800,9800,9800,9800,9800,9800
"elvera.benimadho@cox.net",9800,9800,9800,9800,9800,9800,9800,9800,9800,9800,9800,9800
"carma@cox.net",6000,6000,6000,6000,6000,9200,9200,9200,9200,9200,9200,9200
"malinda.hochard@yahoo.com",8400,8400,8400,8400,8400,8400,8400,8400,8400,8400,8400,8400
"natalie.fern@hotmail.com",9100,9100,9100,9100,9100,9100,9700,9700,9700,9900,9900,9900
"lisha@centini.org",8700,8700,8700,8700,8700,8700,8700,8700,8700,8700,8700,8700
"arlene_klusman@gmail.com",8800,8800,8800,8800,8800,8800,8800,8800,8800,8800,9100,9100
"alease@buemi.com",8200,8200,8200,8200,8200,9200,9200,9200,9200,9200,9200,9300
"louisa@cronauer.com",8600,8600,8600,8600,8600,8600,8600,9300,9300,9300,9300,9300
"angella.cetta@hotmail.com",8600,8600,8600,8600,8600,8600,8600,8600,9400,9400,9400,9400
"cgoldammer@cox.net",8300,8300,8300,8300,8300,8300,8300,8300,8300,8300,8300,8300
"rosio.cork@gmail.com",7800,7800,7800,7800,7800,7800,9400,9400,9400,9400,9400,9400
"ckorando@hotmail.com",6300,6300,9700,9700,9700,9700,9700,9700,9700,9700,9700,9700
"twana.felger@felger.org",9900,9900,9900,9900,9900,9900,9900,9900,9900,9900,9900,9900
"estrella@aol.com",7300,7300,7300,8300,9100,9100,9100,9100,9100,9100,9100,9100
"dkines@hotmail.com",6100,6100,6100,6100,7100,7100,7100,7100,7100,7100,7100,7100
"tiffiny_steffensmeier@cox.net",6200,6200,6200,6200,6200,6200,7300,7300,7300,7300,7600,7600
"emiceli@miceli.org",8900,8900,8900,8900,8900,8900,8900,8900,8900,8900,8900,8900
"sue@aol.com",8300,8300,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500
"jshin@shin.com",6600,6600,9700,9700,9700,9700,9700,9700,9700,9700,9700,9700
"rolland@cox.net",9700,9700,9700,9700,9700,9700,9700,9700,9700,9700,9700,9700
"pamella.schmierer@schmierer.org",8600,9100,9100,9100,9100,9100,9100,9100,9100,9100,9500,9500
"gkulzer@kulzer.org",8500,8500,8500,8500,8700,8700,8700,8700,8700,8700,8700,8700
"shawna_palaspas@palaspas.org",8000,8000,8000,8000,8600,8600,8600,8600,8600,8600,8600,8600
"brandon_callaro@hotmail.com",9500,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500,9600
"scarlet.cartan@yahoo.com",7300,7300,9400,9400,9400,9400,9400,9400,9400,9400,9400,9400
"oretha_menter@yahoo.com",7900,7900,7900,7900,7900,7900,7900,7900,7900,7900,7900,7900
"tsmith@aol.com",8100,8100,8100,8500,8500,8500,8500,9000,9000,9000,9000,9000
"xuan@gmail.com",8100,8100,8100,9000,9800,9800,9800,9800,9800,9800,9800,9800
"lindsey.dilello@hotmail.com",6600,6600,6600,8000,8000,8000,8000,8000,8000,8000,8000,8000
"devora_perez@perez.org",8600,8600,8600,8600,8600,8600,9300,9300,9300,9300,9300,9400
"hdemesa@cox.net",9500,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500
"rpapasergi@cox.net",9600,9600,9600,9600,9600,9600,9600,9600,9600,9600,9600,9600
"talia_riopelle@aol.com",9100,9100,9100,9100,9200,9200,9200,9200,9200,9200,9200,9200
"van.shire@shire.com",8200,8200,8200,8200,8200,8200,8200,8200,8200,8200,8200,8200
"lucina_lary@cox.net",7700,7700,7700,7700,7700,7900,7900,7900,7900,7900,9000,9000
"bok.isaacs@aol.com",6700,7500,7500,9500,9500,9900,9900,9900,9900,9900,9900,9900
"rolande.spickerman@spickerman.com",9300,9300,9300,9300,9300,9300,9300,9300,9300,9300,9300,9300
"hpaulas@gmail.com",9100,9800,9800,9800,9800,9800,9800,9800,9800,9800,9800,9800
"kimbery_madarang@cox.net",6500,6800,6800,6800,6800,6800,6800,6800,6800,6800,9400,9400
"thurman.manno@yahoo.com",8900,8900,8900,9900,9900,9900,9900,9900,9900,9900,9900,9900
"becky.mirafuentes@mirafuentes.com",9500,9500,9500,9500,9500,9500,9500,9500,9500,9700,9700,9700
"beatriz@yahoo.com",8900,8900,8900,8900,8900,8900,8900,8900,8900,8900,8900,8900
"marti.maybury@yahoo.com",8200,9100,9100,9100,9100,9100,9100,9100,9100,9900,9900,9900
"nieves_gotter@gmail.com",6700,8200,8200,8200,8200,8200,8200,8200,8200,8200,8200,8900
"lhagele@cox.net",7500,7500,7500,7500,9500,9500,9500,9500,9500,9500,9500,9500
"vklimek@klimek.org",9100,9700,9700,9700,9700,9700,9700,9700,9700,9700,9700,9700
"melissa@cox.net",8500,8500,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500
"sheridan.zane@zane.com",8900,8900,9000,9000,9000,9000,9000,9000,9000,9000,9200,9200
"bulah_padilla@hotmail.com",6900,6900,6900,6900,6900,6900,6900,6900,6900,6900,6900,6900
"audra@kohnert.com",6500,8800,8800,8800,8800,8800,8800,8800,8800,8800,8800,8800
"dweirather@aol.com",7600,7600,7600,7600,7600,7600,9600,9600,9600,9600,9600,9600
"fjillson@aol.com",9300,9300,9300,9300,9300,9300,9600,9600,9600,9600,9600,9600
"gearldine_gellinger@gellinger.com",7500,7900,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000
"chau@gmail.com",6300,6300,6300,7700,7700,7700,7700,7700,7700,7700,7700,7700
"theola_frey@frey.com",6200,6200,6200,6200,6200,6700,9700,9700,9700,9700,9700,9700
"cheryl@haroldson.org",8700,8700,8700,8700,8700,8700,8700,8700,8700,8700,8700,8700
"lmerced@gmail.com",9400,9400,9400,9400,9400,9500,9500,9500,9500,9500,9500,9500
"carissa.batman@yahoo.com",9200,9200,9200,9200,9200,9200,9200,9200,9200,9200,9700,9700
"lezlie.craghead@craghead.org",7500,7500,7500,7500,7600,7600,7600,7600,7600,7600,7600,9100
"oshealy@hotmail.com",9900,9900,9900,9900,9900,9900,9900,9900,9900,9900,9900,9900
"arminda@parvis.com",6700,6700,6700,6700,6700,6700,7600,7600,7600,7600,7600,7600
"reita.leto@gmail.com",8500,8500,8500,9100,9100,9100,9100,9100,9100,9100,9100,9100
"yolando@cox.net",8300,8300,8300,8300,8300,8400,8400,8400,8400,8400,9300,9300
"lizette.stem@aol.com",6800,6800,6800,6800,6800,6800,6800,6800,7700,7700,8100,8100
"gpawlowicz@yahoo.com",6000,6000,6000,6000,6200,6200,6200,6200,6200,6300,6300,7600
"cdeleo@deleo.com",8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500
"chantell@yahoo.com",8000,8000,8000,8000,8000,8000,8000,8900,8900,8900,8900,8900
"dyum@yahoo.com",8900,8900,8900,8900,9900,9900,9900,9900,9900,9900,9900,9900
"larae_gudroe@gmail.com",9300,9300,9300,9300,9300,9300,9300,9300,9300,9300,9300,9300
"latrice.tolfree@hotmail.com",7000,7000,7000,9800,9800,9800,9800,9800,9800,9800,9800,9800
"kerry.theodorov@gmail.com",7800,7800,7800,9600,9600,9600,9600,9600,9600,9600,9600,9600
"dhidvegi@yahoo.com",9100,9100,9100,9100,9100,9100,9100,9100,9100,9100,9100,9100
"fannie.lungren@yahoo.com",8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,9600,9600
"evangelina@aol.com",7600,7600,7600,7600,9200,9200,9200,9200,9200,9200,9900,9900
"novella_degroot@degroot.org",9800,9800,9800,9800,9800,9800,9800,9800,9800,9800,9800,9800
"choa@hoa.org",8600,8800,8800,9200,9200,9200,9200,9200,9200,9200,9200,9200
"jfallick@yahoo.com",9100,9100,9100,9100,9400,9400,9400,9400,9400,9400,9400,9400
"irma.wolfgramm@hotmail.com",9900,9900,9900,9900,9900,9900,9900,9900,9900,9900,9900,9900
"eun@yahoo.com",8700,8700,8700,8700,8700,8700,8700,9300,9300,9300,9300,9300
"sylvia_cousey@cousey.org",7000,7000,7000,7000,7600,8200,8700,8700,8700,9900,9900,9900
"nana@aol.com",9500,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500
"layla.springe@cox.net",7900,7900,7900,7900,7900,7900,7900,7900,7900,7900,7900,9400
"joesph_degonia@degonia.org",7000,7000,7000,7000,7000,7100,7100,7100,7100,7100,7100,7100
"annabelle.boord@cox.net",7200,7200,9600,9600,9600,9600,9600,9600,9600,9600,9800,9800
"stephaine@cox.net",8300,8300,8300,8300,8300,8300,8300,8300,8300,8300,8300,8300
"nelida@gmail.com",9200,9200,9200,9200,9200,9200,9200,9200,9200,9200,9200,9200
"marguerita.hiatt@gmail.com",6100,6100,6100,6100,6100,6100,6100,6100,6100,7100,7100,7100
"ccookey@cookey.org",7200,9400,9400,9400,9400,9400,9400,9400,9400,9400,9600,9600
"jbrideau@aol.com",8500,8500,8500,8500,8500,8500,9300,9300,9300,9300,9300,9300
"claribel_varriano@cox.net",6600,6600,6600,6600,6600,6600,6600,6600,9800,9800,9800,9800
"benton.skursky@aol.com",9200,9200,9200,9200,9200,9200,9200,9200,9200,9200,9200,9200
"hillary.skulski@aol.com",8400,8400,8400,8400,8400,8400,8400,8400,8400,9400,9400,9400
"merilyn_bayless@cox.net",6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500
"tennaco@gmail.com",9500,9500,9500,9500,9500,9500,9800,9800,9800,9800,9800,9800
"merlyn_lawler@hotmail.com",7300,7300,7300,7300,7300,7300,7300,7300,7300,7300,8500,8500
"gmontezuma@cox.net",9100,9100,9100,9100,9100,9100,9100,9100,9100,9100,9100,9100
"jmconnell@hotmail.com",6000,9900,9900,9900,9900,9900,9900,9900,9900,9900,9900,9900
"lemuel.latzke@gmail.com",9700,9700,9700,9700,9700,9700,9700,9700,9700,9700,9700,9700
"mknipp@gmail.com",9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000
"candida_corbley@hotmail.com",7500,7500,7500,7500,7500,7500,7500,7500,7500,8400,8400,8800
"karan_karpin@gmail.com",8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500
"andra@gmail.com",6900,6900,6900,7400,8100,8100,8100,8100,8100,8100,8100,8100
"fpoullion@poullion.com",9400,9400,9400,9400,9400,9400,9400,9400,9400,9400,9400,9400
"belen_strassner@aol.com",9800,9800,9800,9800,9800,9800,9800,9800,9800,9800,9800,9800
"gracia@melnyk.com",8900,8900,8900,8900,8900,8900,8900,8900,8900,8900,8900,8900
"jhanafan@gmail.com",7900,7900,7900,7900,7900,7900,7900,7900,7900,7900,7900,7900
"barrett.toyama@toyama.org",8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000
"helga_fredicks@yahoo.com",7500,7500,7500,7500,7500,9500,9500,9500,9500,9500,9500,9500
"apinilla@cox.net",9100,9100,9100,9100,9400,9400,9400,9400,9400,9400,9400,9400
"fausto_agramonte@yahoo.com",9400,9400,9400,9400,9400,9400,9400,9400,9400,9400,9400,9400
"ronny.caiafa@caiafa.org",9800,9800,9800,9800,9800,9800,9800,9800,9800,9800,9800,9800
"marge@gmail.com",7300,7300,7300,7300,8100,8100,8100,8100,8100,8100,8100,8100
"norah.waymire@gmail.com",7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500
"aliza@aol.com",6900,6900,6900,6900,6900,6900,6900,6900,6900,6900,6900,6900
"mpelkowski@pelkowski.org",9100,9100,9100,9100,9100,9100,9100,9100,9100,9100,9100,9100
"viola@gmail.com",9600,9600,9600,9600,9600,9600,9600,9600,9600,9900,9900,9900
"femard@emard.com",9900,9900,9900,9900,9900,9900,9900,9900,9900,9900,9900,9900
"willodean_konopacki@konopacki.org",6900,6900,9100,9100,9100,9100,9100,9100,9100,9100,9100,9100
"beckie.silvestrini@silvestrini.com",9500,9500,9500,9500,9600,9600,9600,9600,9600,9600,9600,9600
"rgesick@gesick.org",8600,8600,8600,8600,8600,8600,8600,8600,8600,8600,8600,8600
"frederica_blunk@gmail.com",9800,9800,9800,9800,9800,9800,9800,9800,9800,9800,9800,9800
"glen_bartolet@hotmail.com",8100,8100,8100,8100,8100,8100,8100,8100,8100,8100,8100,8100
"freeman_gochal@aol.com",9600,9600,9600,9600,9600,9600,9600,9600,9600,9600,9600,9600
"vincent.meinerding@hotmail.com",8000,8000,8000,8000,8700,8700,8700,8700,8700,8700,8700,8700
"rima@cox.net",6500,6500,9100,9100,9100,9500,9500,9500,9500,9500,9500,9500
"gsarbacher@gmail.com",8900,8900,8900,8900,8900,8900,8900,8900,8900,8900,8900,8900
"avery@cox.net",8600,8600,8600,8600,8600,8600,8600,8600,8600,8600,8600,8600
"cristy@lother.com",9700,9700,9700,9700,9700,9700,9700,9700,9700,9700,9700,9700
"nicolette_brossart@brossart.com",7700,9800,9800,9800,9800,9800,9800,9800,9800,9800,9800,9800
"tracey@hotmail.com",8000,9900,9900,9900,9900,9900,9900,9900,9900,9900,9900,9900
"virgina_tegarden@tegarden.com",7100,7100,7100,7100,7100,7100,7100,9800,9800,9800,9800,9800
"tfrankel@aol.com",9400,9400,9400,9400,9400,9400,9400,9400,9400,9400,9400,9400
"alaine_bergesen@cox.net",8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000
"earleen_mai@cox.net",7400,7400,7900,7900,7900,7900,7900,7900,7900,7900,7900,7900
"leonida@gobern.org",6000,6000,6000,6000,8600,8600,8600,8600,8600,8600,8600,8600
"ressie.auffrey@yahoo.com",9700,9700,9700,9700,9700,9700,9700,9700,9700,9700,9700,9700
"jmugnolo@yahoo.com",6200,6200,6200,8100,8100,8100,8100,8100,9400,9400,9400,9400
"eladia@saulter.com",9000,9000,9000,9000,9000,9000,9000,9000,9600,9600,9600,9600
"chaya@malvin.com",8100,8100,8100,8100,8100,8100,8100,8100,8100,8500,8500,8500
"gwenn_suffield@suffield.org",8100,8100,9100,9100,9100,9100,9100,9100,9100,9100,9100,9100
"skarpel@cox.net",9300,9800,9800,9800,9800,9800,9800,9800,9800,9800,9800,9800
"yoko@fishburne.com",6300,6300,6300,7700,8000,8000,8000,8700,8700,8700,8700,8700
"taryn.moyd@hotmail.com",8600,8600,8600,8600,8600,8600,8600,8600,8600,8600,8600,8600
"katina_polidori@aol.com",6200,6200,8400,8400,8400,8400,8400,8400,8400,8400,8400,8400
"rickie.plumer@aol.com",6700,6700,6700,6700,6700,9600,9600,9600,9600,9600,9600,9600
"alex@loader.com",7100,7100,7100,7100,8300,8300,8300,9300,9300,9300,9300,9900
"lashon@aol.com",8600,8600,8600,8600,8600,8600,8600,8600,8600,8600,8600,8600
"lburnard@burnard.com",6300,7500,7500,7500,7500,7900,8900,8900,8900,8900,8900,8900
"ceola.setter@setter.org",9200,9200,9200,9200,9200,9200,9200,9300,9300,9300,9300,9300
"my@hotmail.com",7500,7500,7500,7500,9400,9400,9400,9400,9400,9400,9400,9400
"lorrine.worlds@worlds.com",9400,9400,9400,9400,9400,9400,9400,9400,9400,9400,9400,9400
"peggie@cox.net",9400,9400,9400,9400,9400,9800,9800,9800,9800,9800,9800,9800
"mraymo@yahoo.com",8100,8100,8100,8100,8100,8200,8200,8200,8200,9900,9900,9900
"daron_dinos@cox.net",7200,8200,8200,8200,8200,8200,8200,9800,9800,9800,9800,9800
"an_fritz@hotmail.com",6200,6200,8900,8900,8900,8900,8900,8900,8900,8900,8900,8900
"portia.stimmel@aol.com",8800,8800,8800,8800,8800,8800,8800,8800,8800,8800,8800,8800
"rhea_aredondo@cox.net",8600,8600,8600,8600,8600,8600,8600,8600,8600,9500,9500,9500
"bsama@cox.net",7900,7900,7900,7900,7900,7900,7900,7900,7900,7900,7900,7900
"alyce@arias.org",9600,9600,9600,9600,9600,9600,9600,9600,9600,9600,9600,9600
"heike@gmail.com",9200,9200,9200,9200,9200,9200,9200,9200,9200,9200,9200,9200
"carey_dopico@dopico.org",8100,8100,8100,8100,8100,8100,8100,8100,8100,8100,8100,8100
"dottie@hellickson.org",6000,6000,6000,6000,6000,6000,6000,6000,8400,8400,9100,9100
"deandrea@yahoo.com",9100,9100,9100,9100,9100,9200,9200,9200,9200,9200,9200,9200
"kimberlie_duenas@yahoo.com",8200,8200,8700,8700,8700,8700,8700,8700,8700,8700,8700,8700
"martina_staback@staback.com",9500,9800,9800,9800,9800,9800,9800,9800,9800,9800,9800,9800
"skye_fillingim@yahoo.com",8900,8900,8900,8900,8900,8900,8900,8900,8900,9300,9300,9300
"jade.farrar@yahoo.com",8300,8300,8300,8300,9900,9900,9900,9900,9900,9900,9900,9900
"charlene.hamilton@hotmail.com",8700,8700,8700,8700,8700,8700,8700,8700,8700,8700,8700,8700
"geoffrey@gmail.com",8100,9900,9900,9900,9900,9900,9900,9900,9900,9900,9900,9900
"stevie.westerbeck@yahoo.com",7600,7600,7600,7600,7600,7600,7600,7600,7600,7600,7600,7600
"pamella@fortino.com",9400,9400,9400,9400,9400,9400,9400,9400,9400,9400,9400,9400
"hhaufler@hotmail.com",6700,6700,6700,6800,6800,6800,7300,7300,7300,7300,7300,8800
"jengelberg@engelberg.org",6500,6500,7600,7600,7600,7600,7700,7700,7700,9400,9400,9400
"buddy.cloney@yahoo.com",9400,9400,9400,9400,9400,9400,9400,9400,9400,9400,9400,9400
"dalene.riden@aol.com",7700,7700,8300,8300,8300,8300,8300,9300,9300,9300,9300,9300
"jzurcher@zurcher.org",7300,7300,8400,8400,8400,8400,8400,8400,8400,8400,8400,8400
"hdenooyer@denooyer.org",7000,7000,7000,7600,7600,7600,7600,7600,7600,7600,7600,9400
"joseph_cryer@cox.net",6000,6000,6000,8600,8600,8600,8600,8600,8600,9700,9900,9900
"deonna_kippley@hotmail.com",9900,9900,9900,9900,9900,9900,9900,9900,9900,9900,9900,9900
"raymon.calvaresi@gmail.com",9100,9100,9100,9100,9100,9100,9100,9100,9100,9100,9100,9100
"alecia@aol.com",9600,9600,9600,9600,9600,9600,9600,9600,9600,9600,9600,9600
"mlayous@hotmail.com",8100,8100,8100,8100,8100,8100,8100,8100,8100,8100,9400,9400
"detra@aol.com",8900,8900,8900,8900,8900,8900,8900,8900,8900,8900,9600,9600
"terrilyn.rodeigues@cox.net",9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000
"slacovara@gmail.com",7600,7600,7600,7600,7600,7600,7600,7600,7600,7600,7600,7600
"garry_keetch@hotmail.com",7300,7300,7300,7300,7300,7300,7300,7300,7300,9100,9100,9100
"mneither@yahoo.com",7200,7200,7200,7200,7200,7200,7200,7200,7200,9300,9300,9300
"theodora.restrepo@restrepo.com",9800,9800,9800,9800,9800,9800,9800,9800,9800,9800,9800,9800
